segment_id,distance,entanglement_speed_factor,gate_time_ns,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_time_ns_contribution,use_log_scale
1_4_4,17.78279410038923,562.341325190349,146779.92676220674,219848737.6792,0.0120288980298874,0.7803746552682945,0.3049601666794679,True
1_4_5,17.78279410038923,562.341325190349,316227.7660168379,358307256.2502804,0.0053720188172647,0.0116423111486877,0.9935280147594152,True
1_4_6,17.78279410038923,562.341325190349,681292.0690579595,737532496.7138512,0.0014036672657875,3.990070228019824e-06,1.0001938449450642,True
1_5_1,17.78279410038923,1778.2794100389228,14677.992676220676,61733536.83912362,0.0433502945594245,0.947832904709896,0.027224055379979,True
1_5_2,17.78279410038923,1778.2794100389228,31622.776601683792,77620503.97648253,0.2345908627934005,0.678332080951803,0.5900666276897706,True
1_5_3,17.78279410038923,1778.2794100389228,68129.20690579608,124893877.35567136,0.1506656796402549,0.5724873024241379,0.720381974281024,True
1_5_4,17.78279410038923,1778.2794100389228,146779.92676220674,190172520.25551352,0.0422664277331491,0.085322357562258,0.9627851463537106,True
1_5_5,17.78279410038923,1778.2794100389228,316227.7660168379,356750555.7297162,0.0057911460845561,0.0037677564139094,0.916502722655642,True
1_5_6,17.78279410038923,1778.2794100389228,681292.0690579595,737511359.4994514,0.0013832824554821,4.5954514495607644e-06,1.0021723776014575,True
1_6_1,17.78279410038923,5623.413251903491,14677.992676220676,88475482.63541949,0.3634030847569943,0.8176299724601879,0.1962864513547362,True
1_6_2,17.78279410038923,5623.413251903491,31622.776601683792,114646492.9343824,0.5764054227404486,0.6517039948697939,1.1524303632356254,True
1_6_3,17.78279410038923,5623.413251903491,68129.20690579608,120485708.76687054,0.097917561835179,0.6555878955439015,0.5714577894816041,True
1_6_4,17.78279410038923,5623.413251903491,146779.92676220674,189156286.36567095,0.0551382619442096,0.0264547724725355,0.8991346508604472,True
1_6_5,17.78279410038923,5623.413251903491,316227.7660168379,355588388.82410324,0.0065629831040957,0.000506043827824,1.0033688818819635,True
1_6_6,17.78279410038923,5623.413251903491,681292.0690579595,737548533.4402157,0.0014502217223269,1.7707277711789426e-06,1.008655461239304,True
2_1_1,56.23413251903491,17.78279410038923,14677.992676220676,5942113946.043269,3.957843490599421e-08,0.9886672080534636,1.0410190753928623e-09,True
2_1_2,56.23413251903491,17.78279410038923,31622.776601683792,5940923975.555652,4.036036255635849e-08,0.9743809320395304,4.756319168594065e-09,True
2_1_3,56.23413251903491,17.78279410038923,68129.20690579608,5941531379.234926,3.951509718254219e-08,1.0086241750239588,2.2541683610284845e-08,True
2_1_4,56.23413251903491,17.78279410038923,146779.92676220674,5943632469.236436,3.891618423296949e-08,0.9872482729820432,1.148435186871035e-07,True
2_1_5,56.23413251903491,17.78279410038923,316227.7660168379,5946884861.690386,3.9594072327871743e-08,1.009507218269866,4.849596133038656e-07,True
2_1_6,56.23413251903491,17.78279410038923,681292.0690579595,5953572967.895231,3.9841849748230937e-08,1.0057230133117916,2.2688501163955795e-06,True
2_2_1,56.23413251903491,56.23413251903491,14677.992676220676,1879739396.486656,4.206775543560746e-07,0.9974762361959288,1.0336808186625224e-08,True
2_2_2,56.23413251903491,56.23413251903491,31622.776601683792,1879981521.5442288,4.1873439469663843e-07,1.0169321114897227,4.8709296674488886e-08,True
2_2_3,56.23413251903491,56.23413251903491,68129.20690579608,1880598443.4239216,4.084041063855724e-07,0.990839787864025,2.2476598783611866e-07,True
2_2_4,56.23413251903491,56.23413251903491,146779.92676220674,1882283827.8202565,4.0176490714111874e-07,0.9866796667207254,1.039767974861756e-06,True
2_2_5,56.23413251903491,56.23413251903491,316227.7660168379,1884502262.6811173,3.803864853783306e-07,0.9994400247788036,4.90112627975327e-06,True
