segment_id,coherence_time,entanglement_fidelity,operation_fidelity,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,operation_fidelity_contribution,use_log_scale
1_4_2,1778279410.0389156,0.9943765867480964,0.9994376586748096,0.2930668552680161,0.959728433895227,0.0528280608571034,0.0219291989852005,True
1_4_3,1778279410.0389156,0.9943765867480964,0.9982217205899612,0.3151036143025601,1.0552117750899177,0.0492236080682693,0.0375769582485713,True
1_4_4,1778279410.0389156,0.9943765867480964,0.9943765867480968,0.3711021589949091,0.8226298697441842,0.0334863120348801,0.1618626117921939,True
1_4_5,1778279410.0389156,0.9943765867480964,0.9822172058996111,0.5288625003938865,0.3581909811450747,0.0198052611718012,0.7696352416636888,True
1_4_6,1778279410.0389156,0.9943765867480964,0.9437658674809656,0.8818545781166354,0.0703607973192415,0.0069384696360616,1.0967246017389791,True
1_5_1,1778279410.0389156,0.9822172058996108,0.9998221720589962,0.3615591578925973,0.8915548602569181,0.216854053532896,0.0123228037438105,True
1_5_2,1778279410.0389156,0.9822172058996108,0.9994376586748096,0.3687055919669166,0.8668063643162471,0.2149227340313789,0.0269393043329233,True
1_5_3,1778279410.0389156,0.9822172058996108,0.9982217205899612,0.3819801552720759,0.7715726096477076,0.2420081050252789,0.0398331666721878,True
1_5_4,1778279410.0389156,0.9822172058996108,0.9943765867480968,0.4391142015015218,0.7044772095630377,0.2211878874159562,0.1488212316700964,True
1_5_5,1778279410.0389156,0.9822172058996108,0.9822172058996111,0.5895919823721261,0.3799045753895451,0.0888024534593662,0.67688278150662,True
1_5_6,1778279410.0389156,0.9822172058996108,0.9437658674809656,0.9144752182616382,0.0786667637415084,0.0169857206299105,1.167460680052325,True
1_6_1,1778279410.0389156,0.9437658674809652,0.9998221720589962,0.5643203663955457,0.2225180795562326,0.7490936613453973,0.0103818851854908,True
1_6_2,1778279410.0389156,0.9437658674809652,0.9994376586748096,0.5702793898276901,0.2368168514782175,0.7598257390949982,0.0091439071453637,True
1_6_3,1778279410.0389156,0.9437658674809652,0.9982217205899612,0.5828853803928149,0.2347415774672838,0.7475358230666505,0.0133521351298414,True
1_6_4,1778279410.0389156,0.9437658674809652,0.9943765867480968,0.6287151897863456,0.2710179692075675,0.6873329488737342,0.0636231764616284,True
1_6_5,1778279410.0389156,0.9437658674809652,0.9822172058996111,0.7447165962292779,0.2106705092205018,0.5263231564315516,0.4024322147495635,True
1_6_6,1778279410.0389156,0.9437658674809652,0.9437658674809656,1.0080210326858725,0.0525133733531948,0.1605403237378752,1.0256926970413398,True
2_1_1,5623413251.903468,0.9998221720589962,0.9998221720589962,0.0903256346376883,0.9186208695015368,0.0192130833375104,0.0255615888088014,True
2_1_2,5623413251.903468,0.9998221720589962,0.9994376586748096,0.0976226523358899,0.9936755761524816,0.0177566940971052,0.0486189779573204,True
2_1_3,5623413251.903468,0.9998221720589962,0.9982217205899612,0.1200690708597541,0.8850296779816117,0.0197674907909307,0.1888576877485544,True
