experiment_kind,experiment_anchor,experiment_sweep_param,sweep_index,sweep_value,replicate_index,seed,theta,num_runs,shots,distance,gate_speed_factor,client_gate_speed_factor,entanglement_speed_factor,ent_sweep_mode,Tsrv_est_ms,Tcc_est_ms,Tent_est_ms,Tmax_est_ms,Tmin_est_ms,zz_cost,xx_cost,zz_time,xx_time,total_time,energy,sweep_low,sweep_high
sweep,light,distance,4,31.622776601683793,6,55874,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282057,-0.020719372615949232,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,7,56871,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282054,-0.02071937261594924,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,8,57868,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282057,-0.02071937261594923,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,9,58865,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282054,-0.02071937261594924,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,0,59862,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282054,-0.020719372615949232,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,1,60859,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282054,-0.020719372615949232,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,2,61856,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282057,-0.020719372615949243,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,3,62853,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282057,-0.02071937261594924,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,4,63850,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282057,-0.020719372615949232,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,5,64847,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282057,-0.02071937261594923,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
