segment_id,distance,entanglement_speed_factor,gate_speed_factor,client_gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale,timing_mode
2_6_4,56.23413251903491,11246.82650380696,1.4789576852506185,1.0,434964375.1766614,0.007781967533842836,4.379143768006089e-05,0.9967406454294101,True,factor
2_6_5,56.23413251903491,11246.82650380696,4.676874848402369,1.0,1196673029.071069,0.0007831279534463807,4.73997570271258e-07,1.000525494933623,True,factor
2_6_6,56.23413251903491,11246.82650380696,14.789576852506187,1.0,3607972393.5363364,7.35956238872433e-05,2.4387015777494136e-08,1.0012699167424797,True,factor
3_1_1,177.82794100389228,35.56558820077842,0.04676874848402369,1.0,2973183030.989718,4.083162392568642e-07,0.9954704866315308,2.8474457894411863e-09,True,factor
3_1_2,177.82794100389228,35.56558820077842,0.14789576852506187,1.0,2973060079.450793,3.972935866109035e-07,1.0003666836200633,2.8444271822054634e-08,True,factor
3_1_3,177.82794100389228,35.56558820077842,0.46768748484023687,1.0,2974069722.1475496,4.1007351097365653e-07,1.0016290901162872,2.8808907766246597e-07,True,factor
3_1_4,177.82794100389228,35.56558820077842,1.4789576852506185,1.0,2977431877.9036283,4.0359385995031427e-07,0.995896081498244,2.837850920002577e-06,True,factor
3_1_5,177.82794100389228,35.56558820077842,4.676874848402369,1.0,2992971189.4756703,1.711508373213872e-05,1.0021833575111487,0.0010500958785503247,True,factor
3_1_6,177.82794100389228,35.56558820077842,14.789576852506187,1.0,4016580346.15167,0.0005819861208866172,0.25113405667930844,0.8219644946158665,True,factor
3_2_1,177.82794100389228,112.46826503806972,0.04676874848402369,1.0,942140764.7727134,4.059767742930646e-06,1.0067352383172623,2.8867791801137516e-08,True,factor
3_2_2,177.82794100389228,112.46826503806972,0.14789576852506187,1.0,942483305.0712802,4.1011068410333555e-06,0.9920496236521674,2.845241942975916e-07,True,factor
